datetime,stage_ft,r1_ft_per_hr,r3_ft_per_hr,r6_ft_per_hr,momentum_r1_minus_r3,event_id,listed_crest_stage_ft,crest_date
2018-12-29 00:00:00+00:00,19.055,-0.019999999999999574,-0.005833333333332765,0.022916666666666547,-0.01416666666666681,20181229_1972,19.72,2018-12-29
2018-12-29 01:00:00+00:00,19.0525,-0.002500000000001279,-0.0008333333333337597,0.007499999999999692,-0.0016666666666675192,20181229_1972,19.72,2018-12-29
2018-12-29 02:00:00+00:00,19.0525,0.0,-0.007500000000000284,-0.00041666666666687985,0.007500000000000284,20181229_1972,19.72,2018-12-29
2018-12-29 03:00:00+00:00,19.0475,-0.004999999999999005,-0.0025000000000000946,-0.00416666666666643,-0.0024999999999989106,20181229_1972,19.72,2018-12-29
2018-12-29 04:00:00+00:00,19.08,0.03249999999999886,0.00916666666666662,0.00416666666666643,0.02333333333333224,20181229_1972,19.72,2018-12-29
2018-12-29 05:00:00+00:00,19.115000000000002,0.035000000000003695,0.02083333333333452,0.006666666666667116,0.014166666666669176,20181229_1972,19.72,2018-12-29
2018-12-29 06:00:00+00:00,19.1825,0.067499999999999,0.04500000000000052,0.021250000000000213,0.022499999999998486,20181229_1972,19.72,2018-12-29
2018-12-29 07:00:00+00:00,19.224999999999998,0.042499999999996874,0.048333333333333194,0.028749999999999904,-0.00583333333333632,20181229_1972,19.72,2018-12-29
2018-12-29 08:00:00+00:00,19.294999999999998,0.07000000000000028,0.05999999999999872,0.04041666666666662,0.010000000000001563,20181229_1972,19.72,2018-12-29
2018-12-29 09:00:00+00:00,19.3525,0.057500000000000995,0.05666666666666605,0.050833333333333286,0.0008333333333349416,20181229_1972,19.72,2018-12-29
2018-12-29 10:00:00+00:00,19.42,0.06750000000000256,0.06500000000000128,0.05666666666666723,0.002500000000001279,20181229_1972,19.72,2018-12-29
2018-12-29 11:00:00+00:00,19.49,0.06999999999999673,0.0650000000000001,0.06249999999999941,0.004999999999996632,20181229_1972,19.72,2018-12-29
2018-12-29 12:00:00+00:00,19.54,0.05000000000000071,0.0625,0.05958333333333302,-0.01249999999999929,20181229_1972,19.72,2018-12-29
2018-12-29 13:00:00+00:00,19.5825,0.042500000000000426,0.054166666666665954,0.05958333333333362,-0.011666666666665527,20181229_1972,19.72,2018-12-29
2018-12-29 14:00:00+00:00,19.6175,0.03500000000000014,0.042500000000000426,0.05375000000000026,-0.007500000000000284,20181229_1972,19.72,2018-12-29
2018-12-29 15:00:00+00:00,19.6625,0.045000000000001705,0.04083333333333409,0.05166666666666705,0.004166666666667616,20181229_1972,19.72,2018-12-29
2018-12-29 16:00:00+00:00,19.6825,0.019999999999999574,0.033333333333333805,0.04374999999999988,-0.013333333333334231,20181229_1972,19.72,2018-12-29
2018-12-29 17:00:00+00:00,19.695,0.01249999999999929,0.025833333333333524,0.03416666666666698,-0.013333333333334235,20181229_1972,19.72,2018-12-29
2018-12-29 18:00:00+00:00,19.69,-0.004999999999999005,0.00916666666666662,0.025000000000000355,-0.014166666666665625,20181229_1972,19.72,2018-12-29
2018-12-29 19:00:00+00:00,19.6575,-0.032500000000002416,-0.008333333333334044,0.012499999999999881,-0.02416666666666837,20181229_1972,19.72,2018-12-29
2018-12-29 20:00:00+00:00,19.65,-0.007500000000000284,-0.015000000000000568,0.005416666666666477,0.007500000000000284,20181229_1972,19.72,2018-12-29
2018-12-29 21:00:00+00:00,19.63,-0.019999999999999574,-0.020000000000000757,-0.005416666666667069,1.1830814106161824e-15,20181229_1972,19.72,2018-12-29
2018-12-29 22:00:00+00:00,19.6,-0.029999999999997584,-0.019166666666665815,-0.013749999999999929,-0.010833333333331769,20181229_1972,19.72,2018-12-29
2018-12-29 23:00:00+00:00,19.515,-0.08500000000000085,-0.04499999999999934,-0.029999999999999954,-0.040000000000001514,20181229_1972,19.72,2018-12-29
2018-12-30 00:00:00+00:00,19.4825,-0.03249999999999886,-0.04916666666666577,-0.034583333333333265,0.016666666666666906,20181229_1972,19.72,2018-12-29
2018-12-30 01:00:00+00:00,19.4375,-0.045000000000001705,-0.05416666666666714,-0.03666666666666648,0.009166666666665435,20181229_1972,19.72,2018-12-29
2018-12-30 02:00:00+00:00,19.3525,-0.08500000000000085,-0.05416666666666714,-0.049583333333333236,-0.030833333333333712,20181229_1972,19.72,2018-12-29
2018-12-30 03:00:00+00:00,19.285,-0.067499999999999,-0.06583333333333385,-0.05749999999999981,-0.0016666666666651508,20181229_1972,19.72,2018-12-29
2018-12-30 04:00:00+00:00,19.2675,-0.017500000000001847,-0.05666666666666723,-0.05541666666666719,0.039166666666665385,20181229_1972,19.72,2018-12-29
2018-12-30 05:00:00+00:00,19.185,-0.08249999999999957,-0.05583333333333348,-0.055000000000000306,-0.026666666666666096,20181229_1972,19.72,2018-12-29
2018-12-30 06:00:00+00:00,19.1075,-0.07749999999999702,-0.059166666666666146,-0.0625,-0.01833333333333087,20181229_1972,19.72,2018-12-29
2018-12-30 07:00:00+00:00,19.015,-0.09250000000000114,-0.0841666666666659,-0.07041666666666657,-0.008333333333335233,20181229_1972,19.72,2018-12-29
2018-12-30 08:00:00+00:00,18.93,-0.08500000000000085,-0.08499999999999967,-0.07041666666666657,-1.1796119636642288e-15,20181229_1972,19.72,2018-12-29
2018-12-30 09:00:00+00:00,18.7825,-0.14750000000000085,-0.10833333333333428,-0.08375000000000021,-0.03916666666666657,20181229_1972,19.72,2018-12-29
2018-12-30 10:00:00+00:00,18.665,-0.11749999999999972,-0.11666666666666714,-0.10041666666666653,-0.0008333333333325754,20181229_1972,19.72,2018-12-29
2018-12-30 11:00:00+00:00,18.5525,-0.11250000000000071,-0.12583333333333377,-0.10541666666666671,0.013333333333333058,20181229_1972,19.72,2018-12-29
2018-12-30 12:00:00+00:00,18.4375,-0.11499999999999844,-0.11499999999999962,-0.11166666666666696,1.1796119636642288e-15,20181229_1972,19.72,2018-12-29
2018-12-30 13:00:00+00:00,18.302500000000002,-0.134999999999998,-0.12083333333333239,-0.11874999999999976,-0.01416666666666562,20181229_1972,19.72,2018-12-29
2018-12-30 14:00:00+00:00,18.175,-0.12750000000000128,-0.12583333333333258,-0.12583333333333316,-0.0016666666666687036,20181229_1972,19.72,2018-12-29
2018-12-30 15:00:00+00:00,18.03,-0.14499999999999957,-0.13583333333333295,-0.1254166666666663,-0.009166666666666629,20181229_1972,19.72,2018-12-29
2018-12-30 16:00:00+00:00,17.872500000000002,-0.15749999999999886,-0.14333333333333323,-0.1320833333333328,-0.014166666666665634,20181229_1972,19.72,2018-12-29
2018-12-30 17:00:00+00:00,17.6975,-0.1750000000000007,-0.15916666666666637,-0.1424999999999995,-0.015833333333334337,20181229_1972,19.72,2018-12-29
2018-12-30 18:00:00+00:00,17.515,-0.182500000000001,-0.17166666666666686,-0.15374999999999991,-0.010833333333334139,20181229_1972,19.72,2018-12-29
2018-12-30 19:00:00+00:00,17.3075,-0.20749999999999957,-0.18833333333333377,-0.1658333333333335,-0.019166666666665805,20181229_1972,19.72,2018-12-29
2018-12-30 20:00:00+00:00,17.0775,-0.23000000000000043,-0.206666666666667,-0.1829166666666667,-0.023333333333333428,20181229_1972,19.72,2018-12-29
2018-12-30 21:00:00+00:00,16.8225,-0.254999999999999,-0.230833333333333,-0.20124999999999993,-0.024166666666666003,20181229_1972,19.72,2018-12-29
2018-12-30 22:00:00+00:00,16.5525,-0.2700000000000031,-0.25166666666666754,-0.22000000000000064,-0.01833333333333559,20181229_1972,19.72,2018-12-29
2018-12-30 23:00:00+00:00,16.275,-0.27749999999999986,-0.2675000000000007,-0.23708333333333384,-0.009999999999999176,20181229_1972,19.72,2018-12-29
2018-12-31 00:00:00+00:00,15.962499999999999,-0.3125,-0.2866666666666677,-0.2587500000000003,-0.02583333333333232,20181229_1972,19.72,2018-12-29
2018-12-31 01:00:00+00:00,15.635,-0.3274999999999988,-0.3058333333333329,-0.2787500000000002,-0.02166666666666589,20181229_1972,19.72,2018-12-29
2018-12-31 02:00:00+00:00,15.295,-0.33999999999999986,-0.3266666666666662,-0.2970833333333334,-0.013333333333333641,20181229_1972,19.72,2018-12-29
2018-12-31 03:00:00+00:00,14.9625,-0.3324999999999996,-0.33333333333333276,-0.3100000000000002,0.000833333333333186,20181229_1972,19.72,2018-12-29
2018-12-31 04:00:00+00:00,14.6375,-0.32500000000000107,-0.3325000000000002,-0.31916666666666654,0.0074999999999991185,20181229_1972,19.72,2018-12-29
2018-12-31 05:00:00+00:00,14.3125,-0.3249999999999993,-0.32749999999999996,-0.3270833333333331,0.0025000000000006684,20181229_1972,19.72,2018-12-29
2021-04-12 05:00:00+00:00,17.22,,,,,20210415_1956,19.56,2021-04-15
2021-04-12 06:00:00+00:00,17.0875,-0.13250000000000028,,,,20210415_1956,19.56,2021-04-15
2021-04-12 07:00:00+00:00,16.9275,-0.16000000000000014,,,,20210415_1956,19.56,2021-04-15
2021-04-12 08:00:00+00:00,16.75,-0.17749999999999844,-0.1566666666666663,,-0.02083333333333215,20210415_1956,19.56,2021-04-15
2021-04-12 09:00:00+00:00,16.54,-0.21000000000000085,-0.1824999999999998,,-0.02750000000000105,20210415_1956,19.56,2021-04-15
2021-04-12 10:00:00+00:00,16.2975,-0.24249999999999972,-0.20999999999999966,,-0.03250000000000006,20210415_1956,19.56,2021-04-15
2021-04-12 11:00:00+00:00,16.025,-0.27250000000000085,-0.24166666666666714,-0.19916666666666671,-0.030833333333333712,20210415_1956,19.56,2021-04-15
2021-04-12 12:00:00+00:00,15.7175,-0.3074999999999992,-0.2741666666666666,-0.2283333333333332,-0.033333333333332604,20210415_1956,19.56,2021-04-15
2021-04-12 13:00:00+00:00,15.3775,-0.33999999999999986,-0.30666666666666664,-0.25833333333333314,-0.033333333333333215,20210415_1956,19.56,2021-04-15
2021-04-12 14:00:00+00:00,15.01,-0.3674999999999997,-0.33833333333333293,-0.29000000000000004,-0.029166666666666785,20210415_1956,19.56,2021-04-15
2021-04-12 15:00:00+00:00,14.629999999999999,-0.3800000000000008,-0.3625000000000001,-0.31833333333333336,-0.01750000000000068,20210415_1956,19.56,2021-04-15
2021-04-12 16:00:00+00:00,14.2275,-0.40249999999999986,-0.38333333333333347,-0.34500000000000003,-0.019166666666666388,20210415_1956,19.56,2021-04-15
2021-04-12 17:00:00+00:00,13.8125,-0.41499999999999915,-0.3991666666666666,-0.36874999999999974,-0.015833333333332533,20210415_1956,19.56,2021-04-15
2021-04-12 18:00:00+00:00,13.3925,-0.41999999999999993,-0.41249999999999964,-0.3874999999999999,-0.007500000000000284,20210415_1956,19.56,2021-04-15
2021-04-12 19:00:00+00:00,12.9875,-0.40499999999999936,-0.41333333333333283,-0.39833333333333315,0.00833333333333347,20210415_1956,19.56,2021-04-15
2021-04-12 20:00:00+00:00,12.595,-0.39250000000000007,-0.4058333333333331,-0.40249999999999986,0.01333333333333303,20210415_1956,19.56,2021-04-15
2021-04-12 21:00:00+00:00,12.2225,-0.3725000000000005,-0.38999999999999996,-0.40124999999999983,0.01749999999999946,20210415_1956,19.56,2021-04-15
2021-04-12 22:00:00+00:00,11.885,-0.33750000000000036,-0.3675000000000003,-0.3904166666666666,0.02999999999999997,20210415_1956,19.56,2021-04-15
2021-04-12 23:00:00+00:00,11.567499999999999,-0.3175000000000008,-0.3425000000000005,-0.3741666666666668,0.024999999999999745,20210415_1956,19.56,2021-04-15
2021-04-13 00:00:00+00:00,11.2775,-0.28999999999999915,-0.3150000000000001,-0.35250000000000004,0.025000000000000966,20210415_1956,19.56,2021-04-15
2021-04-13 01:00:00+00:00,11.025,-0.2524999999999995,-0.28666666666666646,-0.3270833333333334,0.034166666666666956,20210415_1956,19.56,2021-04-15
2021-04-13 02:00:00+00:00,10.815,-0.21000000000000085,-0.2508333333333332,-0.29666666666666686,0.04083333333333233,20210415_1956,19.56,2021-04-15
2021-04-13 03:00:00+00:00,10.6225,-0.192499999999999,-0.21833333333333313,-0.2666666666666666,0.025833333333334124,20210415_1956,19.56,2021-04-15
2021-04-13 04:00:00+00:00,10.4525,-0.16999999999999993,-0.19083333333333327,-0.23874999999999988,0.020833333333333343,20210415_1956,19.56,2021-04-15
2021-04-13 05:00:00+00:00,10.309999999999999,-0.14250000000000185,-0.16833333333333358,-0.20958333333333337,0.025833333333331737,20210415_1956,19.56,2021-04-15
2021-04-13 06:00:00+00:00,10.175,-0.134999999999998,-0.1491666666666666,-0.18374999999999986,0.014166666666668576,20210415_1956,19.56,2021-04-15
2021-04-13 07:00:00+00:00,10.065,-0.11000000000000121,-0.129166666666667,-0.16000000000000014,0.019166666666665805,20210415_1956,19.56,2021-04-15
